Ensembl_ID,Gene_Symbol,Score,Log2FC,P_Value,Adjusted_P_Value
ENSG00000163032,VSNL1,4.433509,9.474207,9.271173499559652e-06,0.001578785455145338
ENSG00000065618,COL17A1,4.433509,10.94785,9.271173499559652e-06,0.001578785455145338
ENSG00000114861,FOXP1,4.433509,5.9795914,9.271173499559652e-06,0.001578785455145338
ENSG00000144136,SLC20A1,4.433509,8.912166,9.271173499559652e-06,0.001578785455145338
ENSG00000067334,DNTTIP2,4.433509,6.3498306,9.271173499559652e-06,0.001578785455145338
ENSG00000170854,RIOX2,4.433509,7.5193906,9.271173499559652e-06,0.001578785455145338
ENSG00000168172,HOOK3,4.433509,7.3539996,9.271173499559652e-06,0.001578785455145338
ENSG00000133687,TMTC1,4.433509,13.984305,9.271173499559652e-06,0.001578785455145338
ENSG00000134897,BIVM,4.433509,13.344231,9.271173499559652e-06,0.001578785455145338
ENSG00000130816,DNMT1,4.433509,6.2701063,9.271173499559652e-06,0.001578785455145338
ENSG00000101191,DIDO1,4.433509,6.551668,9.271173499559652e-06,0.001578785455145338
ENSG00000100234,TIMP3,4.433509,10.642245,9.271173499559652e-06,0.001578785455145338
ENSG00000170946,DNAJC24,4.433509,8.389065,9.271173499559652e-06,0.001578785455145338
ENSG00000180488,MIGA1,4.433509,6.3046355,9.271173499559652e-06,0.001578785455145338
ENSG00000128641,MYO1B,4.433509,6.6248503,9.271173499559652e-06,0.001578785455145338
ENSG00000177058,SLC38A9,4.433509,9.837201,9.271173499559652e-06,0.001578785455145338
ENSG00000153922,CHD1,4.433509,5.171621,9.271173499559652e-06,0.001578785455145338
ENSG00000174238,PITPNA,4.433509,8.8656,9.271173499559652e-06,0.001578785455145338
ENSG00000173546,CSPG4,4.433509,31.266289,9.271173499559652e-06,0.001578785455145338
ENSG00000129167,TPH1,4.433509,9.816152,9.271173499559652e-06,0.001578785455145338
ENSG00000011007,ELOA,4.433509,6.8120623,9.271173499559652e-06,0.001578785455145338
ENSG00000146963,LUC7L2,4.433509,6.699902,9.271173499559652e-06,0.001578785455145338
ENSG00000198042,MAK16,4.433509,9.083707,9.271173499559652e-06,0.001578785455145338
ENSG00000139372,TDG,4.4226823,5.783672,9.748311198432079e-06,0.001578785455145338
ENSG00000162819,BROX,4.4226823,4.588881,9.748311198432079e-06,0.001578785455145338
ENSG00000136156,ITM2B,4.4226823,3.6771805,9.748311198432079e-06,0.001578785455145338
ENSG00000242516,LINC00960,4.4226823,8.676772,9.748311198432079e-06,0.001578785455145338
ENSG00000171970,ZNF57,4.4226823,9.685516,9.748311198432079e-06,0.001578785455145338
ENSG00000103415,HMOX2,4.4226823,7.604733,9.748311198432079e-06,0.001578785455145338
ENSG00000115541,HSPE1,4.4118557,4.4443917,1.0248851161718385e-05,0.001578785455145338
ENSG00000159140,SON,4.4118557,4.664769,1.0248851161718385e-05,0.001578785455145338
ENSG00000183431,SF3A3,4.4118557,6.9150577,1.0248851161718385e-05,0.001578785455145338
ENSG00000117395,EBNA1BP2,4.4118557,6.410343,1.0248851161718385e-05,0.001578785455145338
ENSG00000010322,NISCH,4.4118557,5.983082,1.0248851161718385e-05,0.001578785455145338
ENSG00000198000,NOL8,4.4118557,6.9674544,1.0248851161718385e-05,0.001578785455145338
ENSG00000109189,USP46,4.4118557,8.369864,1.0248851161718385e-05,0.001578785455145338
ENSG00000273559,CWC25,4.4118557,4.998655,1.0248851161718385e-05,0.001578785455145338
ENSG00000006715,VPS41,4.4010286,6.87939,1.0773879659970914e-05,0.001578785455145338
ENSG00000151746,BICD1,4.4010286,6.4600134,1.0773879659970914e-05,0.001578785455145338
ENSG00000132485,ZRANB2,4.4010286,5.098753,1.0773879659970914e-05,0.001578785455145338
ENSG00000070669,ASNS,4.4010286,5.043645,1.0773879659970914e-05,0.001578785455145338
ENSG00000215424,MCM3AP-AS1,4.4010286,6.6468205,1.0773879659970914e-05,0.001578785455145338
ENSG00000158417,EIF5B,4.390202,4.656398,1.1324530227763724e-05,0.001578785455145338
ENSG00000165732,DDX21,4.390202,6.2517457,1.1324530227763724e-05,0.001578785455145338
ENSG00000160208,RRP1B,4.3793755,6.573824,1.1901985564839451e-05,0.001578785455145338
ENSG00000065000,AP3D1,4.3793755,4.68419,1.1901985564839451e-05,0.001578785455145338
ENSG00000144381,HSPD1,4.3793755,4.9584045,1.1901985564839451e-05,0.001578785455145338
ENSG00000232164,LINC01873,4.3793755,4.5815077,1.1901985564839451e-05,0.001578785455145338
ENSG00000120694,HSPH1,4.3793755,5.6578536,1.1901985564839451e-05,0.001578785455145338
ENSG00000135829,DHX9,4.3793755,6.829695,1.1901985564839451e-05,0.001578785455145338
ENSG00000008128,CDK11A,4.3793755,7.254906,1.1901985564839451e-05,0.001578785455145338
ENSG00000198836,OPA1,4.3793755,7.004083,1.1901985564839451e-05,0.001578785455145338
ENSG00000075336,TIMM21,4.368549,6.85181,1.2507479506423631e-05,0.001578785455145338
ENSG00000088205,DDX18,4.336069,4.3991346,1.4505341735284414e-05,0.0015912234799515695
ENSG00000143771,CNIH4,4.2927623,3.905915,1.7646376656699825e-05,0.0016198904839791455
ENSG00000139343,SNRPF,4.2819357,3.9361503,1.8527442595592555e-05,0.0016198904839791455
ENSG00000066739,ATG2B,4.2602825,4.7230086,2.0416864295834625e-05,0.0016983013522881352
