ID,Symbol,Correlation
ENSG00000065618,COL17A1,1.0
ENSG00000125148,MT2A,0.46064963158943845
ENSG00000187193,MT1X,0.3656403473714721
ENSG00000065534,MYLK,0.34711350779891836
ENSG00000117525,F3,0.33718887810757553
ENSG00000162825,NBPF20,0.3363010275704687
ENSG00000100234,TIMP3,0.3290984231379968
ENSG00000186081,KRT5,0.3270361522312653
ENSG00000005884,ITGA3,0.3152078904513537
ENSG00000186847,KRT14,0.31468127195834183
ENSG00000053747,LAMA3,0.3133323785300075
ENSG00000156804,FBXO32,0.31159040960600437
ENSG00000150093,ITGB1,0.3106574762655408
ENSG00000197461,PDGFA,0.3049321448031846
ENSG00000050165,DKK3,0.3044018896527747
ENSG00000149591,TAGLN,0.2917502022389428
ENSG00000058085,LAMC2,0.29057904624544445
ENSG00000108691,CCL2,0.29001749531544
ENSG00000163017,ACTG2,0.283341290437349
ENSG00000041982,TNC,0.2748103063515274
